 a           b          (a+b)/2         f((a+b)/2) 
     0.00000      1.00000      0.50000      0.62500 
     0.50000      1.00000      0.75000     -0.32812 
     0.50000      0.75000      0.62500      0.11914 
     0.62500      0.75000      0.68750     -0.11255 
     0.62500      0.68750      0.65625      0.00137 
     0.65625      0.68750      0.67188     -0.05608 
     0.65625      0.67188      0.66406     -0.02747 
     0.65625      0.66406      0.66016     -0.01308 
     0.65625      0.66016      0.65820     -0.00586 
     0.65625      0.65820      0.65723     -0.00225 
     0.65625      0.65723      0.65674     -0.00044 
     0.65625      0.65674      0.65649      0.00047 
     0.65649      0.65674      0.65662      0.00002 
     0.65662      0.65674      0.65668     -0.00021 
     0.65662      0.65668      0.65665     -0.00010 
     0.65662      0.65665      0.65663     -0.00004 
     0.65662      0.65663      0.65662     -0.00001 
Root 1 at x = 0.6566 
 a           b          (a+b)/2         f((a+b)/2) 
     1.00000      2.00000      1.50000     -1.12500 
     1.50000      2.00000      1.75000     -0.39062 
     1.75000      2.00000      1.87500      0.21680 
     1.75000      1.87500      1.81250     -0.10815 
     1.81250      1.87500      1.84375      0.04892 
     1.81250      1.84375      1.82812     -0.03096 
     1.82812      1.84375      1.83594      0.00865 
     1.82812      1.83594      1.83203     -0.01124 
     1.83203      1.83594      1.83398     -0.00132 
     1.83398      1.83594      1.83496      0.00366 
     1.83398      1.83496      1.83447      0.00117 
     1.83398      1.83447      1.83423     -0.00007 
     1.83423      1.83447      1.83435      0.00055 
     1.83423      1.83435      1.83429      0.00024 
     1.83423      1.83429      1.83426      0.00008 
     1.83423      1.83426      1.83424      0.00000 
     1.83423      1.83424      1.83424     -0.00004 
Root 2 at x = 1.8342 
