Intervals    Yn(x)     |Yn(x) - Yn-1(x)|  |tan(pi/4) - Yn(x)| 
    4       1.004918        1.004918      0.004918 
    8       1.001129        0.003788      0.001129 
   16       1.000328        0.000802      0.000328 
   32       1.000094        0.000233      0.000094 
   64       1.000025        0.000069      0.000025 
  128       1.000006        0.000019      0.000006 
  256       1.000001        0.000005      0.000001 
  512       1.000000        0.000001      0.000000 
 1024       1.000000        0.000000      0.000000 
 2048       1.000000        0.000000      0.000000 
